filename	quality	coverage	spikiness	spikyness	background	evenness
blm-1-single-c10-w11_.trimmed.mdup.bam	poor	23	0.275052557813595	0.241162864116636	0.0291384968173012	0.241162864116636
blm-1-single-c10-w15_.trimmed.mdup.bam	acceptable	55	0.191639085189492	0.21936524400114	0.0159801475300309	0.21936524400114
blm-1-single-c10-w19_.trimmed.mdup.bam	acceptable	60	0.192692356064459	0.218528676158049	0.0231383302040982	0.218528676158049
blm-1-single-c10-w30_.trimmed.mdup.bam	okay	39	0.22061893548441	0.226212461998755	0.017261118450022	0.226212461998755
blm-1-single-c10-w31_.trimmed.mdup.bam	acceptable	82	0.217775775155594	0.23702403180217	0.0133629764635641	0.23702403180217
blm-1-single-c10-w33_.trimmed.mdup.bam	acceptable	47	0.21643259853718	0.178161454386996	0.0196930644699382	0.178161454386996
blm-1-single-c10-w34_.trimmed.mdup.bam	acceptable	66	0.19372965258886	0.228718039139088	0.0252870113303819	0.228718039139088
blm-1-single-c10-w37_.trimmed.mdup.bam	okay	35	0.238835117123437	0.237681106539798	0.0236202433045431	0.237681106539798
blm-1-single-c10-w38_.trimmed.mdup.bam	okay	34	0.227523465703971	0.235444119274474	0.019807416995156	0.235444119274474
blm-1-single-c10-w41_.trimmed.mdup.bam	acceptable	76	0.177373773815046	0.216637438973887	0.0181342083532531	0.216637438973887
blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam	poor	41	0.257713814690222	0.250266719674578	0.0249512551791372	0.250266719674578
blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam	poor	39	0.258240629543012	0.253143056063452	0.107425058602543	0.253143056063452
blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam	poor	35	0.276099836556797	0.255885695329219	0.0375293980284556	0.255885695329219
blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam	poor	43	0.250822562507809	0.250146106367396	0.0250135640850851	0.250146106367396
blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam	poor	47	0.246952217580892	0.25089326760844	0.021863375283269	0.25089326760844
blm-1-single-c5-w22-3d6_S122_.trimmed.mdup.bam	poor	45	0.269231031310688	0.25578438916728	0.0245248313917842	0.25578438916728
blm-1-single-c5-w24-3d6_S124_.trimmed.mdup.bam	poor	21	0.305615069379538	0.255075435475122	0.0246408177100988	0.255075435475122
blm-1-single-c5-w26-3d6_S126_.trimmed.mdup.bam	poor	30	0.296558232035229	0.25674532725903	0.0244371721291256	0.25674532725903
blm-1-single-c5-w30-3d6_S130_.trimmed.mdup.bam	poor	28	0.336990851404929	0.252729817141614	0.0800303811636785	0.252729817141614
blm-1-single-c5-w31-3d6_S131_.trimmed.mdup.bam	poor	43	0.261429224225808	0.249488429578897	0.0372527414869615	0.249488429578897
