Library	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.00951381725267766	0.0279335269877727	66	0.5	0.416089	0.116427
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903121851657	0.0382919044395009	116	0.445945945945946	0.42231	0.173166
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098440518874	0.0842406876790831	35	0.543478260869565	0.418227	0.121771
f1216-c38-mesc-a1h5-hkt-f13-r2-c5_S1168_	135	0.00026753	0.9688	731920	731920	72.774402	0.038419	0.0189698706400368	0.0302295896365549	137	0.472972972972973	0.418185	0.186169
f1216-c38-mesc-a1h5-hkt-f13-r2-c6_S1169_	132	0.000818452	0.9757	604958	604958	73.029134	0.044221	0.0156392202128247	0.03031212484994	112	0.5	0.414584	0.15557
f1216-c38-mesc-a1h5-hkt-f13-r3-c2_S1170_	128	0.00159592	0.9735	524582	524582	72.336493	0.038915	0.0135073100563498	0.0450687437062003	101	0.481012658227848	0.416952	0.153522
f1216-c38-mesc-a1h5-hkt-f13-r3-c3_S1171_	134	0.00210368	0.9775	454042	454042	73.223294	0.042793	0.0117865686973844	0.0647702991452992	84	0.484375	0.414896	0.136238
f1216-c38-mesc-a1h5-hkt-f13-r3-c4_S1172_	130	0.00189725	0.977	486874	486874	73.050438	0.042972	0.0126066671755473	0.137041308018615	87	0.531645569620253	0.417308	0.14147
f1216-c38-mesc-a1h5-hkt-f13-r3-c5_S1173_	134	0.00121349	0.9782	573942	573942	73.210006	0.045224	0.0148585414030373	0.0780724915986558	104	0.5	0.415498	0.151993
f1216-c38-mesc-a1h5-hkt-f13-r3-c6_S1174_	124	0.00789901	0.9495	557948	557948	72.208061	0.039054	0.0143388600973185	0.052363193545932	103	0.467532467532468	0.419687	0.156935
f1216-c38-mesc-a1h5-hkt-f13-r4-c2_S1175_	132	0.000943093	0.9753	686994	686994	72.720115	0.044813	0.0176738896897696	0.189549000058648	119	0.472222222222222	0.421326	0.165471
f1216-c38-mesc-a1h5-hkt-f13-r4-c3_S1176_	134	0.00195673	0.9782	556940	556940	72.88707	0.041954	0.0144039465322132	0.0471320118093631	103	0.493506493506494	0.414063	0.154073
f1216-c38-mesc-a1h5-hkt-f13-r4-c4_S1177_	136	0.000112637	0.9722	602090	602090	73.44123	0.048986	0.0155748725731697	0.145717666332939	108	0.513157894736842	0.419575	0.148971
f1216-c38-mesc-a1h5-hkt-f13-r4-c5_S1178_	129	0.00232859	0.9801	444524	444524	72.918018	0.045401	0.0114600702553723	0.0495273089141501	82	0.462962962962963	0.414575	0.129265
f1216-c38-mesc-a1h5-hkt-f13-r4-c6_S1179_	128	0.0155276	0.9654	548832	548832	72.674159	0.039947	0.0141824377125593	0.0396437981250383	102	0.5	0.417134	0.153014
f1216-c38-mesc-a1h5-hkt-f13-r5-c2_S1180_	134	0.0005129	0.9733	526344	526344	73.322548	0.044439	0.0136584644695506	0.0328607295820411	95	0.5	0.413588	0.142406
f1216-c38-mesc-a1h5-hkt-f13-r5-c3_S1181_	132	9.51011e-05	0.9738	567702	567702	73.144962	0.046232	0.0146684365288017	0.0413975228436466	105	0.5	0.412875	0.14566
f1216-c38-mesc-a1h5-hkt-f13-r5-c4_S1182_	129	0.00202024	0.9465	493686	493686	72.95501	0.042156	0.0127772370439961	0.0344308371812889	92	0.46875	0.415625	0.142463
f1216-c38-mesc-a1h5-hkt-f13-r5-c5_S1183_	134	0.00185348	0.9763	512736	512736	73.462862	0.044678	0.013327468656057	0.0290536349688245	95	0.525	0.412997	0.143493
f1216-c38-mesc-a1h5-hkt-f13-r5-c6_S1184_	131	0.000585434	0.9776	468204	468204	73.084508	0.042281	0.0121376549330908	0.0361167660316999	85	0.480769230769231	0.413428	0.141068
f1216-c38-mesc-a1h5-hkt-f13-r6-c2_S1185_	117	0.00186482	0.9569	391440	391440	70.953699	0.029787	0.00998029938709544	0.0475325172149962	73	0.492063492063492	0.417599	0.147349
f1216-c38-mesc-a1h5-hkt-f13-r6-c3_S1186_	105	0.0523475	0.9234	226248	226248	69.391968	0.019554	0.00570103711283557	0.0827911150998429	42	0.5	0.427847	0.132825
f1216-c38-mesc-a1h5-hkt-f13-r6-c4_S1187_	114	0.00254245	0.959	298920	298920	70.478774	0.026161	0.00759865476330331	0.0503688030797261	56	0.470588235294118	0.418204	0.134818
f1216-c38-mesc-a1h5-hkt-f13-r6-c5_S1188_	114	0.000252693	0.9579	367702	367702	70.722841	0.027267	0.00936883468624184	0.0811106926421748	69	0.53030303030303	0.416821	0.148073
f1216-c38-mesc-a1h5-hkt-f14-r2-c2_S1190_	138	6.00415e-05	0.9375	306872	306872	74.05763	0.039613	0.00808368872461834	0.0314963163143841	56	0.456521739130435	0.417625	0.11367
f1216-c38-mesc-a1h5-hkt-f14-r2-c3_S1191_	124	0.0015238	0.9192	711100	711100	72.358778	0.041094	0.0182740233039225	0.152172957771235	124	0.486111111111111	0.426561	0.172351
f1216-c38-mesc-a1h5-hkt-f14-r2-c4_S1192_	109	0.0258972	0.9085	160010	160010	70.912993	0.016524	0.00413307173513108	0.17052141781853	29	0.483870967741935	0.422858	0.120615
f1216-c38-mesc-a1h5-hkt-f14-r2-c5_S1193_	113	0.00151764	0.8286	75040	75040	70.638633	0.013033	0.00193764396192451	0.053337921541638	14	0.346153846153846	0.42565	0.0833781
f1216-c38-mesc-a1h5-hkt-f14-r2-c6_S1194_	127	0.00525552	0.9159	569066	569066	72.828827	0.037486	0.0147743793110564	0.0278746944791686	109	0.48	0.421019	0.160498
f1216-c38-mesc-a1h5-hkt-f14-r3-c2_S1195_	125	0.00468723	0.9538	585940	585940	72.487442	0.039564	0.0151084735000261	0.0456338520211357	109	0.488095238095238	0.415288	0.158878
f1216-c38-mesc-a1h5-hkt-f14-r3-c3_S1196_	131	0.00534441	0.9661	418992	418992	73.486422	0.04285	0.0109151340274882	0.0226996077724178	78	0.558139534883721	0.413273	0.127427
f1216-c38-mesc-a1h5-hkt-f14-r3-c4_S1197_	123	0.00734586	0.9581	353532	353532	72.901242	0.037055	0.009191817135641	0.0333924122164856	66	0.462686567164179	0.414898	0.123719
f1216-c38-mesc-a1h5-hkt-f14-r3-c5_S1198_	141	0.000615435	0.9831	520192	520192	73.993983	0.050716	0.0135329498120918	0.0869736221091824	93	0.491525423728814	0.416754	0.137418
f1216-c38-mesc-a1h5-hkt-f14-r3-c6_S1199_	123	0.00984206	0.9418	503880	503880	72.667514	0.039978	0.0130192163784075	0.0261191174595077	93	0.476923076923077	0.414447	0.144372
f1216-c38-mesc-a1h5-hkt-f14-r4-c2_S1200_	127	0.00319813	0.9537	557204	557204	72.828747	0.040147	0.0144264018698846	0.0277969489992622	103	0.530120481927711	0.413417	0.155942
f1216-c38-mesc-a1h5-hkt-f14-r4-c3_S1201_	123	0.0131458	0.9331	705522	705522	72.136626	0.038411	0.0181255881895245	0.070048821906177	128	0.5	0.421986	0.178704
f1216-c38-mesc-a1h5-hkt-f14-r4-c4_S1202_	106	0.00236892	0.8034	89598	89598	69.880299	0.012924	0.00228896893358401	0.158853705996816	16	0.481481481481481	0.428359	0.0970537
f1216-c38-mesc-a1h5-hkt-f14-r4-c5_S1203_	128	0.00248327	0.981	449490	449490	73.205408	0.044406	0.0116458944528688	0.0593360018836826	82	0.476923076923077	0.41355	0.131651
f1216-c38-mesc-a1h5-hkt-f14-r4-c6_S1204_	128	0.011627	0.9712	537946	537946	73.126537	0.042904	0.0139445796393177	0.0283643046763324	95	0.523809523809524	0.412442	0.14734
f1216-c38-mesc-a1h5-hkt-f14-r5-c2_S1205_	135	0.000387111	0.977	548728	548728	73.587413	0.04837	0.0142319699278469	0.122303447287322	99	0.5	0.416107	0.138362
f1216-c38-mesc-a1h5-hkt-f14-r5-c3_S1206_	126	0.000352512	0.9501	545044	545044	72.918583	0.041248	0.014112771258899	0.0349800145750061	101	0.5	0.413357	0.153182
f1216-c38-mesc-a1h5-hkt-f14-r5-c4_S1207_	131	0.000333995	0.9783	562758	562758	73.116613	0.046155	0.014536230003958	0.0727863755211646	102	0.514705882352941	0.414778	0.146228
f1216-c38-mesc-a1h5-hkt-f14-r5-c5_S1208_	NA	0.138551	0.2297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
f1216-c38-mesc-a1h5-hkt-f14-r5-c6_S1209_	127	0.00133088	0.9658	485988	485988	73.170134	0.043618	0.0125958368211379	0.111022682053323	87	0.5	0.420459	0.138052
f1216-c38-mesc-a1h5-hkt-f14-r6-c2_S1210_	122	0.00133764	0.9639	398550	398550	71.585063	0.032493	0.0102234052582711	0.0896161718469752	73	0.5	0.419254	0.142738
f1216-c38-mesc-a1h5-hkt-f14-r6-c3_S1211_	115	0.0146739	0.969	330536	330536	70.715501	0.02332	0.00845516174785976	0.0593970863983845	60	0.476923076923077	0.420163	0.154346
f1216-c38-mesc-a1h5-hkt-f14-r6-c4_S1212_	113	0.00200285	0.9645	313716	313716	70.350046	0.024468	0.00797404735577743	0.110506445359001	58	0.464285714285714	0.418984	0.144889
f1216-c38-mesc-a1h5-hkt-f14-r6-c5_S1213_	109	0.000944409	0.9031	332414	332414	70.229199	0.022911	0.00844826214460231	0.0536901789672632	63	0.492537313432836	0.419698	0.153409
f1216-c38-mesc-a1h5-hkt-r57-c39_S723_	117	0.00639444	0.9245	203184	203184	70.946433	0.017816	0.00524383673890065	0.0375211585480534	39	0.478260869565217	0.423024	0.134405
f1216-c38-mesc-a1h5-hkt-r57-c40_S724_	117	0.000536176	0.9405	255202	255202	71.105128	0.018848	0.00659413031377328	0.0275482093663912	47	0.5	0.43299	0.151261
f1216-c38-mesc-a1h5-hkt-r57-c41_S725_	115	0.00442367	0.8476	178998	178998	70.764774	0.018693	0.00460369385270943	0.113665818653098	32	0.452380952380952	0.426939	NA
f1216-c38-mesc-a1h5-hkt-r57-c42_S726_	111	0.00937218	0.9116	231374	231374	70.294804	0.0204	0.00590096163892215	0.0511896178803172	43	0.551724137931034	0.423913	0.137239
f1216-c38-mesc-a1h5-hkt-r57-c43_S727_	126	0.0024883	0.9455	518096	518096	72.113784	0.033534	0.0133736927111998	0.0232553823311062	92	0.509090909090909	0.420666	0.16525
f1216-c38-mesc-a1h5-hkt-r57-c44_S728_	129	0.0148844	0.9693	466178	466178	72.532526	0.031709	0.0121262553094105	0.0362973459687657	87	0.529411764705882	0.420676	0.161587
f1216-c38-mesc-a1h5-hkt-r57-c45_S729_	127	0.0101322	0.9587	490528	490528	72.292159	0.030306	0.0127357915401605	0.0890436250461571	90	0.509433962264151	0.424727	0.170405
f1216-c38-mesc-a1h5-hkt-r57-c46_S730_	129	0.000320203	0.9579	479102	479102	72.714912	0.03095	0.0125035659293232	0.0392561983471074	93	0.451219512195122	0.426169	0.165966
f1216-c38-mesc-a1h5-hkt-r57-c47_S731_	128	0.000937195	0.9566	357388	357388	72.477794	0.028692	0.0093183310186501	0.0277592419591619	65	0.492537313432836	0.426371	0.146106
f1216-c38-mesc-a1h5-hkt-r57-c48_S732_	125	0.00130789	0.9603	515930	515930	72.039498	0.03114	0.0133370175153682	0.0427664748798861	96	0.517241379310345	0.422	0.170869
f1216-c38-mesc-a1h5-hkt-r57-c49_S733_	127	5.59104e-05	0.9623	449754	449754	72.294766	0.031088	0.0116681623015011	0.0249236580587083	83	0.491803278688525	0.422067	0.159788
f1216-c38-mesc-a1h5-hkt-r57-c50_S734_	132	0.00228036	0.9566	546026	546026	72.750549	0.035573	0.0141891112588103	0.216180581192975	93	0.5625	0.430175	0.166652
