Library	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing	coverage	spikiness	evenness.mean	evenness.med
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_.processed.bam	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	0.00974991939907616	0.19113922573266	0.231212301265161	0.227776777234612
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_.processed.bam	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	0.0160997014682217	0.180362622412914	0.225711850860362	0.218414509412766
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_.processed.bam	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	0.0049964994588339	0.24145215222122	0.229264161206155	0.228355313562828
f1216-c38-mesc-a1h5-hkt-f13-r2-c5_S1168_.processed.bam	G	135	0.00026753	0.9688	731920	731920	72.774402	0.038419	0.0189698706	0.0302295896	137	0.472972973	0.418185	0.186169	0.0192944457226006	0.162573367966362	0.230168171745946	0.222883220535642
f1216-c38-mesc-a1h5-hkt-f13-r2-c6_S1169_.processed.bam	G	132	0.000818452	0.9757	604958	604958	73.029134	0.044221	0.0156392202	0.0303121248	112	0.5	0.414584	0.15557	0.0160066097190841	0.16699749870051	0.198634340268812	0.19055458496009
f1216-c38-mesc-a1h5-hkt-f13-r3-c2_S1170_.processed.bam	G	128	0.00159592	0.9735	524582	524582	72.336493	0.038915	0.0135073101	0.0450687437	101	0.4810126582	0.416952	0.153522	0.0137426847236219	0.173091770240376	0.234987115974453	0.217294591255529
f1216-c38-mesc-a1h5-hkt-f13-r3-c3_S1171_.processed.bam	G	134	0.00210368	0.9775	454042	454042	73.223294	0.042793	0.0117865687	0.0647702991	84	0.484375	0.414896	0.136238	0.0120463432107428	0.193806230946539	0.230982859670335	0.223676329944123
f1216-c38-mesc-a1h5-hkt-f13-r3-c4_S1172_.processed.bam	G	130	0.00189725	0.977	486874	486874	73.050438	0.042972	0.0126066672	0.137041308	87	0.5316455696	0.417308	0.14147	0.0128794600261135	0.214802211824755	0.218550014798773	0.217762251769066
f1216-c38-mesc-a1h5-hkt-f13-r3-c5_S1173_.processed.bam	G	134	0.00121349	0.9782	573942	573942	73.210006	0.045224	0.0148585414	0.0780724916	104	0.5	0.415498	0.151993	0.0152227971677226	0.184038883893696	0.227544949911813	0.223626183362451
f1216-c38-mesc-a1h5-hkt-f13-r3-c6_S1174_.processed.bam	G	124	0.00789901	0.9495	557948	557948	72.208061	0.039054	0.0143388601	0.0523631935	103	0.4675324675	0.419687	0.156935	0.0145840662609517	0.191174364887372	0.224251409982984	0.217958987440433
f1216-c38-mesc-a1h5-hkt-f13-r4-c2_S1175_.processed.bam	G	132	0.000943093	0.9753	686994	686994	72.720115	0.044813	0.0176738897	0.1895490001	119	0.4722222222	0.421326	0.165471	0.0180870075245928	0.231736315117585	0.231696618611168	0.231688310961839
f1216-c38-mesc-a1h5-hkt-f13-r4-c3_S1176_.processed.bam	G	134	0.00195673	0.9782	556940	556940	72.88707	0.041954	0.0144039465	0.0471320118	103	0.4935064935	0.414063	0.154073	0.014708478403325	0.171722936327663	0.206797976114698	0.199903424922313
f1216-c38-mesc-a1h5-hkt-f13-r4-c4_S1177_.processed.bam	G	136	0.000112637	0.9722	602090	602090	73.44123	0.048986	0.0155748726	0.1457176663	108	0.5131578947	0.419575	0.148971	0.0160161030798584	0.232069012927585	0.246890149220475	0.245785169065063
