Library	Quality
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	G
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	G
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	G
f1216-c38-mesc-a1h5-hkt-f13-r2-c5_S1168_	G
f1216-c38-mesc-a1h5-hkt-f13-r2-c6_S1169_	G
f1216-c38-mesc-a1h5-hkt-f13-r3-c2_S1170_	G
f1216-c38-mesc-a1h5-hkt-f13-r3-c3_S1171_	G
f1216-c38-mesc-a1h5-hkt-f13-r3-c4_S1172_	G
f1216-c38-mesc-a1h5-hkt-f13-r3-c5_S1173_	G
f1216-c38-mesc-a1h5-hkt-f13-r3-c6_S1174_	G
f1216-c38-mesc-a1h5-hkt-f13-r4-c2_S1175_	G
f1216-c38-mesc-a1h5-hkt-f13-r4-c3_S1176_	G
f1216-c38-mesc-a1h5-hkt-f13-r4-c4_S1177_	G
f1216-c38-mesc-a1h5-hkt-f13-r4-c5_S1178_	G
f1216-c38-mesc-a1h5-hkt-f13-r4-c6_S1179_	G
f1216-c38-mesc-a1h5-hkt-f13-r5-c2_S1180_	G
f1216-c38-mesc-a1h5-hkt-f13-r5-c3_S1181_	G
f1216-c38-mesc-a1h5-hkt-f13-r5-c4_S1182_	G
f1216-c38-mesc-a1h5-hkt-f13-r5-c5_S1183_	G
f1216-c38-mesc-a1h5-hkt-f13-r5-c6_S1184_	G
f1216-c38-mesc-a1h5-hkt-f13-r6-c2_S1185_	G
f1216-c38-mesc-a1h5-hkt-f13-r6-c3_S1186_	G
f1216-c38-mesc-a1h5-hkt-f13-r6-c4_S1187_	G
f1216-c38-mesc-a1h5-hkt-f13-r6-c5_S1188_	G
f1216-c38-mesc-a1h5-hkt-f14-r2-c2_S1190_	G
f1216-c38-mesc-a1h5-hkt-f14-r2-c3_S1191_	P
f1216-c38-mesc-a1h5-hkt-f14-r2-c4_S1192_	G
f1216-c38-mesc-a1h5-hkt-f14-r2-c5_S1193_	G
f1216-c38-mesc-a1h5-hkt-f14-r2-c6_S1194_	G
f1216-c38-mesc-a1h5-hkt-f14-r3-c2_S1195_	G
f1216-c38-mesc-a1h5-hkt-f14-r3-c3_S1196_	G
f1216-c38-mesc-a1h5-hkt-f14-r3-c4_S1197_	G
f1216-c38-mesc-a1h5-hkt-f14-r3-c5_S1198_	G
f1216-c38-mesc-a1h5-hkt-f14-r3-c6_S1199_	G
f1216-c38-mesc-a1h5-hkt-f14-r4-c2_S1200_	G
f1216-c38-mesc-a1h5-hkt-f14-r4-c3_S1201_	G
f1216-c38-mesc-a1h5-hkt-f14-r4-c4_S1202_	G
f1216-c38-mesc-a1h5-hkt-f14-r4-c5_S1203_	G
f1216-c38-mesc-a1h5-hkt-f14-r4-c6_S1204_	G
