Shift	Overlaps
0	712
18079819	659
42684528	626
45763817	624
5376628	655
38642538	612
44224801	646
36559341	608
35059275	665
22908535	601
32113252	628
37112338	675
36682966	681
28569845	610
1607886	651
1090737	696
15700428	643
13647839	646
49484072	621
33651323	644
42122765	631
38604863	616
49200156	653
3962222	638
34225303	661
25781873	606
11247658	617
32722288	617
40948760	621
2749656	601
39992299	576
14083382	637
33278520	629
21580525	617
15579411	652
45326760	620
28173067	608
10000204	579
42815984	619
21929943	635
16144756	635
30341354	605
31939044	632
3693749	631
1866056	648
31052173	622
15721137	619
44820170	621
44082724	624
19358282	602
17989317	687
27211004	598
48468622	639
34457585	665
35041566	667
18796760	653
43067952	619
18550911	629
10987445	621
43938352	602
47758771	610
29062500	647
3227820	626
29435102	626
25262065	624
33851217	606
15287653	635
14045102	627
32104694	630
1348502	646
26525716	606
1864136	645
35274434	658
23071892	659
5448181	633
40403890	577
13961621	645
2795954	641
11768135	628
5650083	618
20493522	625
3716743	640
39430578	623
8333127	627
11212783	649
23179550	621
34365457	652
3468971	639
33691701	639
28308019	615
31738509	598
16066014	620
29416965	627
47649568	629
26723234	615
11240460	626
12485103	659
9730647	604
43456852	602
14968027	651
25803604	598
11333338	652
26585562	647
42787665	621
35489878	616
16806281	608
24935848	630
19938915	646
7518563	640
10362868	628
17123212	609
22632986	623
49960909	620
44758364	618
26523063	603
27351192	641
28176424	617
41470145	620
45678093	626
21172922	615
5117525	620
36674658	655
49636682	621
47086068	608
8405957	626
36934276	654
27170526	607
18340299	640
43956361	589
3799438	611
46080185	635
9211309	610
27354575	644
28311729	620
45797120	605
23993168	613
8811929	615
13093926	651
45962925	624
2402072	641
45522805	637
15261286	612
2750653	607
27548536	608
9120564	589
6052361	610
4911370	619
11654289	650
37522872	660
39275596	637
22185456	634
24218774	674
31469102	620
11514755	642
34466829	654
20941961	608
31527631	634
24333357	633
47555733	625
27194247	599
9561958	580
41171565	587
13933637	623
47816670	624
9138699	622
11834683	658
25839068	615
7002719	611
47584523	618
19944905	641
2723496	600
40655187	591
32052694	621
35473902	639
18146914	622
19756772	642
15056473	631
41124532	634
9084889	589
33358948	600
38138422	636
25918815	623
44033667	604
30195759	635
14618004	619
21013930	646
9361230	567
15625601	618
4388333	615
32907651	624
1808178	684
2214274	640
12273940	659
48362848	657
19026898	649
46340401	633
19336312	613
31108574	679
4366622	631
49059134	632
15437422	642
34055830	665
17654043	655
8287461	611
20882327	652
25787677	618
41813300	628
20308302	628
29619687	646
49743529	615
14932810	612
7632871	607
39032882	660
17116681	619
30469192	626
10185564	589
46993678	626
49202278	656
32336210	622
17903697	637
14111437	647
27288460	624
41026305	626
38352588	631
33042935	657
41803600	625
45423232	631
43614383	620
17830734	639
14874405	616
32859773	642
35156991	647
5931196	599
44331505	617
8675444	627
23183958	629
11871847	658
26694309	613
12335690	618
16199087	632
44827054	638
34896695	630
9033847	600
42824967	640
17457425	632
13641441	635
49077068	607
38058286	644
29628727	645
3208825	639
1363702	619
2068742	594
4282892	584
21673067	663
8099558	628
33105228	648
48359352	672
47670751	645
9607357	605
23588384	608
10516952	653
24538310	652
28575368	611
21963695	650
17724056	617
20980662	637
49018089	645
42256554	642
17858409	608
47170760	620
47140480	623
14183994	634
18735897	658
9062127	604
16170676	637
13092170	648
1572249	712
28006681	609
40923342	603
45640468	625
40033619	608
29822599	632
27652310	642
12059930	671
13666899	649
34097530	625
41828514	621
12774314	653
15690843	643
24617896	640
28425389	617
48266681	630
41603125	651
48793711	622
42602941	618
9164163	621
13701072	642
3239585	654
1254084	662
14741198	632
1965997	635
34247172	657
29519130	632
4330756	601
8520179	627
42744216	627
39299476	644
27689059	656
28384924	599
30013678	607
36128664	639
28168342	601
6057785	620
31507726	631
45013459	630
40881834	599
45652725	644
34631283	649
17471127	637
36944274	652
32331206	616
42515367	611
39799474	625
22669930	649
37473257	634
29209728	641
44367643	587
38419588	618
47630440	626
14086896	647
10558566	644
48000964	632
13558104	609
40786198	612
12984890	648
44317195	640
6489883	603
11988770	663
31202099	638
36780662	682
12896380	652
8486072	628
5724583	597
48100645	600
44199498	621
29487891	616
12930823	633
43937684	593
7373012	625
25675041	621
44825224	634
41242624	639
48471304	637
22124419	617
15578982	643
9156778	619
3280917	609
8355642	627
17684509	604
35894572	695
23270657	619
13988106	600
14956987	623
41009569	633
6891006	637
41291553	624
12799311	645
20989082	650
24682220	655
20790771	642
38643507	613
16850462	661
44075302	601
9782266	622
5425192	656
25826546	608
20231186	660
39891479	646
39824792	624
29003394	646
20660174	656
15182508	598
27257987	595
33081476	642
45705847	609
41056876	632
25120291	646
13847501	665
38918622	658
34736653	631
47507375	634
37788430	632
2045481	632
6558751	616
13038294	656
30334231	620
36544357	617
7264443	633
11045555	633
3947015	652
38372305	643
19434629	625
13120087	637
27950631	583
1880513	644
31408823	593
1782581	674
37786194	635
36512200	627
29098824	656
29120980	628
43178686	618
43059962	631
25967895	621
31144009	626
22639852	646
23692167	630
29513077	635
47689491	618
28992383	631
29134215	642
26076826	639
19012230	627
48998830	653
11097851	653
4916527	619
47003878	624
15678848	625
48112490	617
26948369	619
9399633	603
47354479	623
48079138	609
25646501	603
44398299	646
41467545	613
44610254	626
24043671	625
4506195	607
14771533	650
42121927	624
13189479	626
39971081	590
39017783	661
10509778	656
21381789	631
2554231	600
23026786	643
48178455	626
23130408	651
16286505	627
42210274	624
49598913	618
2930980	612
44488411	630
23245276	604
33611846	609
22468326	635
49956752	622
29160252	652
2834601	620
34435769	691
25614576	611
11944947	646
4999064	628
20510027	615
25901437	614
9366938	552
31576143	595
9092916	575
22132664	618
26835320	633
11625771	643
18959098	613
21287667	628
10539655	630
2083644	610
21609317	637
9588606	568
45044278	634
45035788	627
32964479	632
46775686	623
23980226	609
31519365	642
6282708	605
1493621	639
14407393	629
32532928	636
35060012	668
9459205	611
6292704	592
9985943	587
25730905	615
29242083	613
36353388	652
2880189	601
42404900	606
24093673	591
19181153	592
21570910	624
28601799	610
21939901	649
28433422	626
22484435	625
2202073	637
34036258	650
24692183	654
29240293	619
34727451	639
9391868	576
10399183	628
39083675	620
31272234	657
39665115	598
48670060	640
21978435	649
14987412	642
27862590	628
19992647	623
16498319	653
15066814	637
22734572	640
41570173	658
42890387	602
20594189	665
40513681	639
10692928	631
46645157	636
12399682	625
35504850	612
22857740	654
16774434	644
15042654	608
40076548	615
31280426	622
19357972	602
3265154	629
44553790	642
5268269	607
34607939	629
35257619	644
37097713	667
39219199	608
8491377	613
9014567	615
30954361	643
7215574	630
43860621	630
49570197	630
22388588	641
9319918	598
32683243	627
22836844	649
47718692	637
31518963	642
26154335	654
46296850	645
4161143	651
2890876	601
18676590	603
33334861	632
14844712	609
24676849	630
11589778	651
36108507	619
30647668	631
15085112	637
2555495	602
13764464	608
33049768	658
35445939	652
46570420	640
24501231	647
31623657	636
28843165	638
23177060	614
15962104	629
7522092	635
44627725	622
49739011	601
14658867	606
23600136	608
40734704	624
19103170	621
10182314	610
5428298	649
28846449	630
28820371	602
47609563	599
30217988	645
24945858	633
38856274	656
33186252	618
21940283	654
13367682	628
1694718	660
35616388	660
27049908	597
16169355	636
47496317	652
12362342	613
42136583	652
22887157	626
26627084	615
20455061	589
15055037	621
33658536	660
13201126	621
31103929	666
36935221	655
13582753	609
27305210	625
22133476	619
13091143	640
6396904	610
19799894	645
6097945	614
5479590	614
29262965	592
9674735	602
34591670	647
47312190	607
20445599	618
3238743	646
42717637	648
44104396	644
24108025	605
31732376	578
17857941	604
29067148	636
31840924	658
10648154	651
41706547	652
7933075	595
35421183	654
15516772	654
14475215	640
45232014	657
13238710	634
18579265	651
34214095	654
47882929	614
14504573	634
47070820	597
18051297	659
4713751	618
49717311	622
37891481	633
31133901	627
33026551	625
22652767	639
41493286	605
30460836	615
47867988	628
41373846	609
33788107	612
26481537	627
42425978	626
42228929	651
2848059	615
14170239	628
1540733	669
8601471	627
33859194	608
45682368	629
46185996	625
23149802	639
3084193	648
9096247	580
47844759	607
29577989	654
39031796	652
37110867	671
34779617	670
44529578	614
6317126	594
47910842	634
30494219	636
37201235	641
27181380	611
39255968	629
40317923	643
19719062	631
24831258	643
19769575	652
48546413	618
14474215	641
46824112	606
16482735	646
23368087	642
10525324	632
10986316	612
33737547	656
3173056	673
38788277	628
43518820	633
24167542	631
43008397	648
14844706	609
33015535	641
24249698	661
30523444	653
47054106	610
32514905	652
47638888	631
32925393	642
20784315	644
24584768	644
34709101	647
12566249	634
36054797	610
36811503	686
17479293	629
33628739	624
17621001	634
25675234	621
29491248	626
10910643	648
20647524	655
32390206	644
45779765	638
13024058	642
5837261	589
9249441	589
33996199	632
1653110	665
36691760	679
21395678	646
21123812	641
49054558	647
2398339	643
20604927	664
16457883	640
11383290	665
34713233	646
22085385	648
19921667	648
5102618	621
18334310	657
6964821	617
41064067	614
35402697	684
16485386	656
6097257	611
42855379	626
7685570	665
6776422	613
11129043	644
31689042	643
27549938	604
4526178	593
17021185	627
20741712	647
48871543	660
9458262	616
44055836	606
44378996	609
39356111	606
37486624	646
3918457	665
21863939	644
24952513	633
17827076	631
32932773	636
25880410	617
38646664	622
20198463	639
29653942	682
25880261	618
1085585	694
10857816	638
24548324	659
34964711	641
4161069	654
25751866	617
16689027	654
7785724	643
8849803	610
35422287	646
8589558	606
23077809	654
23279224	628
48390101	659
22329026	632
49086122	611
39964678	601
6638012	621
11868449	659
10931040	621
14523603	617
40236619	626
41326977	608
12336567	617
44777881	589
25006190	633
2418771	650
8050406	614
5148736	643
31910992	664
16216438	608
29503977	625
28553440	609
34345423	641
31907475	652
3013931	645
16834674	651
36943695	648
44779119	585
14231954	631
12078066	678
29537602	622
35868912	632
3132302	655
49268691	657
22565711	645
9648866	596
13018082	654
35652079	664
15924664	621
3897217	655
23665884	619
2229533	653
44927473	660
17211725	611
10557886	651
37142727	636
22829648	629
26121630	634
18321576	662
41681113	645
45092647	630
21682528	645
25451530	623
32122775	624
18041459	647
4735865	636
44337632	612
33255811	635
25521624	644
20256603	626
49013039	635
23111880	619
20925832	653
48179671	619
2549067	614
39201101	626
46838531	621
39505625	603
16318038	656
41348679	596
1277752	637
43480896	631
10531157	626
1738043	678
7891242	611
27640945	634
5349577	629
32659536	616
33543314	628
10047569	623
45993671	627
8383052	601
19273627	594
7173107	650
6249804	618
45611373	609
1526392	644
41578177	621
11072431	659
13385507	635
8353491	635
6316711	591
38122437	630
25907757	640
31668666	604
47318015	606
43818185	614
23852685	661
11768791	627
33162316	639
4625876	615
13977300	654
45580317	594
34513694	660
34359226	648
25378117	611
45678292	626
34613934	647
33829793	597
47763440	631
24712373	636
2565082	614
48579575	646
31335224	636
5015596	619
23311338	622
12084021	657
45057961	619
17830194	635
21227275	589
16839915	653
25515505	645
1629672	684
17765768	655
49535047	608
16722978	629
20732788	644
21684423	645
22136225	620
49876644	675
22236445	631
8484170	628
36019616	647
40672053	598
41284213	625
27705204	623
48150790	600
2221739	643
43236603	611
45713389	597
33463149	640
5601103	578
23010182	623
38777046	629
10265651	631
26716929	623
48981634	625
21007870	661
38602165	624
9544384	599
15182549	598
42728696	645
43100844	621
2838943	622
26578205	620
22981717	616
9338965	587
42094367	661
45260276	635
11182914	632
45526906	614
42103987	626
29302077	614
30041548	614
44511192	630
21828133	665
14155599	652
12776050	651
49369178	656
15119618	624
32923679	649
25504388	621
25906241	632
32362244	603
24010615	620
21258920	584
28391151	600
37290874	609
35714291	663
26320152	637
19128489	626
14648690	596
48727521	657
6084264	575
45751763	616
31266914	644
41502058	617
25235451	615
2241755	664
30399931	612
25513305	637
32002081	620
4977213	643
45396044	620
8945850	616
45307726	601
14986385	656
39118904	643
27779762	599
15912674	607
12896102	652
13951146	636
33056333	644
12563461	634
46809781	607
29110289	655
25882317	615
43768219	605
32957389	623
46694195	616
46917439	611
17291499	605
8951167	622
11062210	661
2386166	639
37667217	625
3883854	641
32467642	612
42547740	602
6972278	637
