Shift	Overlaps
0	206
14107128	169
25396116	168
18168959	183
32279900	165
42410382	174
5347492	170
48039885	176
33750690	174
20300027	183
16931291	175
30626464	184
48355524	199
12357487	178
42220369	176
47912663	176
26196970	173
44566618	162
37554055	212
12134866	176
39787018	173
40545369	181
15012365	173
8990541	186
19384502	173
35830237	163
3672486	193
49992832	187
37743492	200
1988864	174
8255406	166
40261292	173
44303637	167
18968549	180
22794583	167
43447313	190
12798690	216
47376736	206
20911366	174
38831503	201
49921643	208
14243618	178
38627714	188
15701598	203
49511184	184
29405971	188
23069476	178
26026802	153
38416631	194
47704944	180
11480259	198
39010817	176
20260730	185
2613582	203
33936473	186
15834281	175
42601053	167
47933447	176
37675018	202
46811030	195
9667435	197
5623014	175
27585209	196
42476663	177
40902786	197
21124094	168
5325597	168
3780999	175
41663328	168
25126782	177
22524940	180
7772015	187
46032257	174
18227959	191
9397489	205
38036479	173
33179925	160
36101986	158
18758433	160
11611261	198
9183684	201
43257984	168
38531509	186
38548948	200
33725042	192
30640230	186
12712470	186
15162303	195
49747779	189
21386668	168
41473930	167
44567611	162
42063104	185
1549035	190
29830400	183
40894258	179
1067068	174
19793142	183
40151381	169
1513503	186
8690228	188
31649360	177
48300581	188
16524952	166
30194482	172
34000007	178
12199040	178
45519040	181
32828464	152
13556771	169
23098417	166
38708127	202
19293333	171
36138578	177
6278860	182
27194341	176
44879233	176
8805729	162
8755474	158
36131885	174
4714042	175
4193154	186
15921786	183
44464374	169
5306700	181
30724036	196
17942170	175
26799201	186
9234968	192
46440903	186
35723609	167
21752632	165
25970699	175
40786755	184
8077475	194
48099207	188
16284796	164
13282512	189
48382322	197
35531151	173
34040115	203
11313677	182
44868513	170
42428321	177
12356505	180
49449738	193
42285517	162
44313381	160
1791476	175
28321673	187
49934908	202
5583237	172
15278001	186
33179513	161
37139596	201
34535493	190
7833832	182
37103036	186
49487193	190
49923123	206
11522115	188
25360302	175
49478261	187
42453411	184
26599828	194
19673194	185
2405501	183
49386314	202
45318706	160
10884875	212
10795939	200
6176940	184
13304197	196
37615910	206
49004279	176
18847144	164
35974211	155
6484730	189
8522519	185
41269059	169
10994741	193
26051406	162
36270655	178
36011469	144
47509051	183
34174873	202
4088975	198
17957528	168
4807187	187
34462539	184
41428594	204
40074817	171
46490890	201
17103692	176
42929144	180
47937654	178
36084134	147
27936496	202
33307882	149
37705001	210
9771806	212
45081196	167
8421146	195
13989169	181
15629635	184
38014191	179
30186484	159
13561402	166
33730026	184
30349868	179
35492623	181
46186817	180
41044796	168
35786836	163
33526721	195
29526042	185
30265937	167
39897178	165
14353403	177
27826081	207
41138908	169
39340215	175
4096941	201
25267809	167
2474853	168
36015121	153
17585677	178
7706865	201
31109023	173
2793453	181
40982154	185
38774173	190
29893296	186
9439786	191
8177583	158
30584079	165
17224966	168
7105327	192
23833268	161
9339565	196
7351042	220
30581435	167
39072037	166
28295649	180
26366409	164
14789914	177
12270028	183
13893916	186
19099540	171
42053944	179
21091541	166
9500736	194
42218619	173
7862245	190
12873162	191
45790656	181
6560062	186
25705155	172
18629570	155
4963610	188
44702696	184
3751739	176
7660353	209
33500080	196
28662802	194
4810027	188
21653345	167
22902689	176
15357470	195
1710700	173
47245269	175
2919322	164
13166362	195
43529100	180
42245322	188
32957160	162
6931328	209
1065913	174
37026906	231
33974261	179
15616139	174
22436556	164
23846874	164
26142563	183
32289657	177
1811856	175
26000927	169
37798222	208
43861161	182
28048034	205
6068216	185
33948062	188
28230854	188
11331965	192
27753015	210
3912287	180
17349929	183
43857929	178
33921162	188
16326160	175
23975887	180
33124434	163
14656505	171
5075615	196
1483369	187
10082002	177
35451920	189
6500811	197
16950642	176
27287981	171
37205379	211
13721095	170
14420229	171
21551515	197
17500617	190
20724424	178
6293463	193
9806375	204
30981589	167
17090051	173
29358672	172
8562780	186
5529018	165
44197438	162
18098199	180
25099798	168
48746016	175
38495482	197
31328805	190
5069230	192
4998926	200
17961521	177
20034977	190
20434391	201
26251554	162
16096535	170
3020023	179
6323947	203
13203237	171
42961247	166
19599247	163
6373200	183
15302547	197
20351756	184
6753714	191
3583108	202
30774780	179
31671875	191
19040142	173
21946340	173
39465320	204
13736490	170
37795391	205
36992107	208
33083985	172
40664324	192
3077316	160
3036544	157
17566405	176
14021473	183
4697597	168
12163753	169
26115445	174
3025457	182
47746466	177
46055529	173
7304029	198
26657388	170
10912241	202
36510112	181
34086959	206
35262183	165
31624692	178
22210273	156
15409059	182
11989241	178
48851701	184
9058711	177
31737009	172
20675269	177
25477127	195
47172343	176
47974605	171
6793583	184
11207563	199
7137459	205
12901309	195
44658388	180
29039917	158
23613014	167
26965344	159
8231144	176
2748688	181
4512793	157
30831814	179
3980854	201
39485625	203
5926655	189
28301963	180
21848753	177
16150629	165
16194663	164
1775241	187
27078508	171
22022900	159
32514660	145
28456544	206
27125730	173
41978994	184
34842384	173
2859224	176
21608785	169
47612606	169
34618992	176
3378932	161
46586564	205
14582907	177
27294814	169
22000084	177
41998764	182
33260500	154
11551584	202
29121938	191
23870254	172
10116488	181
26038372	157
27945671	201
49035895	197
10404299	182
8319213	189
35916279	152
15738055	204
37120823	195
11585778	191
3283339	172
26624817	195
32075622	165
36569206	221
7762383	206
12200596	182
45990063	177
11339439	187
12368047	183
4164683	186
47353746	200
39583434	186
34900163	181
9628860	202
47283067	190
33818665	186
11523312	190
17587232	177
19397682	181
17936771	187
6523958	199
24909106	156
43905589	169
36448117	169
1759942	187
11722985	181
43269761	164
10363776	190
33977931	185
12014015	172
3041703	163
32559612	155
10327961	192
48387045	187
46419697	184
48344592	189
25534934	187
29903661	189
3120244	176
14167924	182
49910420	207
11725720	179
9953156	180
26607676	193
34607328	172
31732504	168
45274604	190
10107884	185
8974898	189
47778361	168
28004327	185
35062728	175
46080348	183
10831647	207
22936930	172
7993502	188
31684550	175
1344873	166
18247335	187
46336840	173
35309240	179
15566674	196
19121021	181
46614543	210
33545598	189
49737626	180
31817066	166
36496083	180
41493050	176
19239476	171
6963799	202
26160571	165
28778563	178
46722668	192
7041834	212
10237774	192
49617429	177
4357977	175
36657496	187
8936327	193
38994874	190
25888807	175
1962574	177
1386252	180
38463070	167
30751632	172
37326359	184
19023352	166
28981137	171
45739809	187
18787039	175
15472250	189
35428397	182
6473409	196
28856708	181
17946254	180
18176578	193
37174075	199
34935721	175
3729541	185
19206777	173
34818050	185
45774888	179
37697792	209
37460016	191
19064237	168
23917607	176
23965037	170
7302844	203
13667525	166
23289870	173
15711730	207
12586986	204
19592688	168
25337417	173
20270737	185
7692567	202
40895009	180
2518449	183
7343925	213
4656573	187
16696049	179
9115877	188
36456882	169
2880307	175
9315865	197
2733469	179
12808385	205
16826312	186
9328663	189
32460620	158
13354027	194
3165377	153
11374745	182
31253855	146
13613961	178
7652489	213
3911182	181
43229629	168
35899429	160
13966054	173
31841827	169
32782747	149
11999067	175
27686111	199
5961822	208
39162835	177
40185643	188
49432439	203
3166933	155
9341881	191
3948833	178
48426685	170
27474219	179
3120297	176
1335137	167
31359517	188
25021562	144
3267967	169
1429899	174
34209139	207
43715204	161
33257107	157
36184524	163
25917188	173
23758092	156
42114152	184
13046658	202
38958907	194
39005574	187
4678453	178
30920828	174
38754742	191
49952876	194
1467630	183
18256632	188
49499705	186
37561226	216
44055537	172
4571957	169
27383134	175
33792837	180
12667244	193
37061059	212
16265067	158
6547144	188
18026968	182
48650856	169
38906701	184
47396017	194
49446031	204
32197049	167
9765520	198
43639238	168
33427738	164
1397452	186
2145336	179
44655719	180
7198614	207
43454724	198
2135327	171
13845004	180
6752177	190
10681891	196
42775173	151
27803491	215
46820080	184
3474741	168
15600380	178
7200118	212
11634996	194
44014456	170
3486277	176
38639999	185
31221433	147
34306100	207
13145172	198
30423289	171
34713237	203
40371276	172
2405552	183
45184510	182
35382140	179
31697427	191
10442918	187
8329875	191
16240502	164
3767044	175
24290521	164
1110484	148
35618343	151
17808821	184
29475497	184
33245404	148
23471924	184
13578190	176
40663895	191
6587685	211
46259945	184
44431405	184
46631377	204
26910516	176
43597208	181
19749065	171
15620131	179
6649619	203
5107173	200
37931110	163
29175446	181
20284313	183
31530549	185
18631037	151
31747356	170
36956430	209
20647640	183
16051004	198
7408308	213
10009156	194
3369288	178
41030276	176
29299356	170
5503860	157
12282727	180
1657382	163
49853330	189
26100251	166
6748700	192
4332573	184
23588552	172
39653218	188
9485179	193
16994317	190
40112099	172
4709209	174
37497529	193
36775586	200
13864427	171
6027843	186
9688006	198
17127410	173
22681059	169
37868013	189
36675198	189
38201645	173
33135977	169
1980216	171
39275043	188
23938151	173
36773215	196
22795777	171
23211521	164
27994338	204
40456927	168
41272751	164
26805504	175
26236760	157
46251400	185
37139124	200
18241416	188
22537844	172
3166847	155
5498406	154
32820960	157
27585297	196
2671696	180
48653887	173
20528195	178
18876413	171
8682424	197
36622430	207
18454302	196
6744278	196
18286734	178
28579135	204
44765538	185
4605175	178
39765202	178
4765832	181
35272482	167
33738759	189
32733233	160
14140705	179
47821452	173
1636934	179
49056240	193
43581385	177
19510045	176
18762495	156
29754564	180
35023619	186
3739458	178
37079105	202
21600242	168
34172639	199
28249108	183
28241234	183
41236059	180
18921127	186
17207983	171
3313394	180
5170253	201
14309205	182
14117157	166
15426050	198
1201071	181
19637249	182
32445312	155
23130567	186
23018480	156
9466918	198
15591579	177
14303636	190
41761508	171
34901308	177
47344939	195
