seqnames	BLM	BLM/RECQL5	RECQL5	WT	ALL
chr1	45	118	18	20	201
chr10	28	58	9	6	101
chr11	64	76	14	9	163
chr12	30	71	17	10	128
chr13	20	62	11	6	99
chr14	16	50	5	10	81
chr15	17	47	4	9	77
chr16	16	46	3	4	69
chr17	11	43	5	9	68
chr18	13	48	6	10	77
chr19	11	24	4	4	43
chr2	25	144	21	14	204
chr20	6	13	4	4	27
chr21	6	18	1	3	28
chr22	6	17	1	6	30
chr3	50	94	18	13	175
chr4	37	111	28	17	193
chr5	32	91	24	11	158
chr6	39	83	19	18	159
chr7	19	82	15	8	124
chr8	73	192	47	37	349
chr9	20	48	11	4	83
chrX	24	73	13	13	123
