mp	ds	type	p	chr
11317461.5	8.14227456980205e-11	BREAKPOINTS	0.9834765625	chrX
11602053.0547945	1.78577671635149e-10	BREAKPOINTS	0.97306640625	chrX
11886644.609589	3.62585524135195e-10	BREAKPOINTS	0.9587109375	chrX
12171236.1643836	6.82330862890433e-10	BREAKPOINTS	0.93892578125	chrX
12455827.7191781	1.19103076914733e-09	BREAKPOINTS	0.91076171875	chrX
12740419.2739726	1.9290462689411e-09	BREAKPOINTS	0.86759765625	chrX
13025010.8287671	2.89863335581784e-09	BREAKPOINTS	0.7983203125	chrX
13309602.3835616	4.03900436472843e-09	BREAKPOINTS	0.6744140625	chrX
13594193.9383562	5.19103357441067e-09	BREAKPOINTS	0.56181640625	chrX
13878785.4931507	6.15722168298075e-09	BREAKPOINTS	0.46912109375	chrX
14163377.0479452	6.74780239397329e-09	BREAKPOINTS	0.41111328125	chrX
14447968.6027397	6.83978188949944e-09	BREAKPOINTS	0.40181640625	chrX
14732560.1575342	6.41858794016133e-09	BREAKPOINTS	0.44345703125	chrX
15017151.7123288	5.58214820348775e-09	BREAKPOINTS	0.524140625	chrX
15301743.2671233	4.50720556924606e-09	BREAKPOINTS	0.627734375	chrX
15586334.8219178	3.39502168118046e-09	BREAKPOINTS	0.7476171875	chrX
15870926.3767123	2.4203077178501e-09	BREAKPOINTS	0.8359375	chrX
16155517.9315068	1.70107335851438e-09	BREAKPOINTS	0.88150390625	chrX
16440109.4863014	1.29359538485465e-09	BREAKPOINTS	0.90458984375	chrX
16724701.0410959	1.20444228286063e-09	BREAKPOINTS	0.9099609375	chrX
17009292.5958904	1.40668170502189e-09	BREAKPOINTS	0.89787109375	chrX
17293884.1506849	1.85094074257465e-09	BREAKPOINTS	0.87279296875	chrX
17578475.7054795	2.46991484046987e-09	BREAKPOINTS	0.83234375	chrX
17863067.260274	3.18139126556822e-09	BREAKPOINTS	0.7713671875	chrX
18147658.8150685	3.89572561874202e-09	BREAKPOINTS	0.6890625	chrX
18432250.369863	4.52889869956755e-09	BREAKPOINTS	0.62533203125	chrX
18716841.9246575	5.00887257481719e-09	BREAKPOINTS	0.579765625	chrX
19001433.4794521	5.29694907072982e-09	BREAKPOINTS	0.55107421875	chrX
19286025.0342466	5.37954503435346e-09	BREAKPOINTS	0.54326171875	chrX
19570616.5890411	5.25133716196338e-09	BREAKPOINTS	0.55560546875	chrX
19855208.1438356	4.91713411373201e-09	BREAKPOINTS	0.58833984375	chrX
20139799.6986301	4.39787345726058e-09	BREAKPOINTS	0.6380859375	chrX
20424391.2534247	3.73724757861238e-09	BREAKPOINTS	0.70544921875	chrX
20708982.8082192	3.00091183921201e-09	BREAKPOINTS	0.7893359375	chrX
20993574.3630137	2.26533908204432e-09	BREAKPOINTS	0.84650390625	chrX
21278165.9178082	1.60048747558228e-09	BREAKPOINTS	0.886953125	chrX
21562757.4726027	1.05428364440886e-09	BREAKPOINTS	0.91771484375	chrX
21847349.0273973	6.45470663543798e-10	BREAKPOINTS	0.94080078125	chrX
22131940.5821918	3.66467497253007e-10	BREAKPOINTS	0.95857421875	chrX
22416532.1369863	1.93107301440713e-10	BREAKPOINTS	0.97203125	chrX
22701123.6917808	9.61135376360381e-11	BREAKPOINTS	0.98240234375	chrX
22985715.2465753	5.0273787111044e-11	BREAKPOINTS	0.98783203125	chrX
23270306.8013699	3.99434844607779e-11	BREAKPOINTS	0.99125	chrX
23554898.3561644	6.18044828536654e-11	BREAKPOINTS	0.98583984375	chrX
23839489.9109589	1.26566048430559e-10	BREAKPOINTS	0.9774609375	chrX
24124081.4657534	2.63542934122567e-10	BREAKPOINTS	0.96533203125	chrX
24408673.0205479	5.19832598614289e-10	BREAKPOINTS	0.94791015625	chrX
24693264.5753425	9.45628300991798e-10	BREAKPOINTS	0.9228125	chrX
24977856.130137	1.5856736338463e-09	BREAKPOINTS	0.8877734375	chrX
25262447.6849315	2.45334376308391e-09	BREAKPOINTS	0.8336328125	chrX
25547039.239726	3.50646657725907e-09	BREAKPOINTS	0.7313671875	chrX
25831630.7945205	4.63508074595314e-09	BREAKPOINTS	0.61515625	chrX
26116222.3493151	5.67259447789288e-09	BREAKPOINTS	0.51509765625	chrX
26400813.9041096	6.43311296156837e-09	BREAKPOINTS	0.44216796875	chrX
26685405.4589041	6.76462284784722e-09	BREAKPOINTS	0.40953125	chrX
26969997.0136986	6.59763048366196e-09	BREAKPOINTS	0.42587890625	chrX
27254588.5684932	5.96843131563406e-09	BREAKPOINTS	0.48671875	chrX
27539180.1232877	5.00670924168374e-09	BREAKPOINTS	0.57998046875	chrX
27823771.6780822	3.89327771670295e-09	BREAKPOINTS	0.68943359375	chrX
28108363.2328767	2.80670722358783e-09	BREAKPOINTS	0.8055859375	chrX
28392954.7876712	1.8805530573861e-09	BREAKPOINTS	0.87064453125	chrX
28677546.3424658	1.18517503922223e-09	BREAKPOINTS	0.91109375	chrX
28962137.8972603	7.35082161259187e-10	BREAKPOINTS	0.93609375	chrX
29246729.4520548	5.11832018141246e-10	BREAKPOINTS	0.94828125	chrX
29531321.0068493	4.91451045476483e-10	BREAKPOINTS	0.9496484375	chrX
29815912.5616438	6.56773461465241e-10	BREAKPOINTS	0.94029296875	chrX
30100504.1164384	9.8474437002986e-10	BREAKPOINTS	0.92083984375	chrX
30385095.6712329	1.45127331510758e-09	BREAKPOINTS	0.8959765625	chrX
30669687.2260274	2.00817060927911e-09	BREAKPOINTS	0.8626171875	chrX
30954278.7808219	2.57743596531452e-09	BREAKPOINTS	0.8237890625	chrX
31238870.3356164	3.06073332513106e-09	BREAKPOINTS	0.783515625	chrX
31523461.890411	3.3629113760914e-09	BREAKPOINTS	0.751640625	chrX
31808053.4452055	3.42068245418184e-09	BREAKPOINTS	0.74365234375	chrX
32092645	3.22390785430512e-09	BREAKPOINTS	0.76666015625	chrX
32377236.5547945	2.81990789077245e-09	BREAKPOINTS	0.8047265625	chrX
32661828.109589	2.29931872607905e-09	BREAKPOINTS	0.84439453125	chrX
32946419.6643836	1.77053672562629e-09	BREAKPOINTS	0.87748046875	chrX
33231011.2191781	1.33387404853462e-09	BREAKPOINTS	0.902265625	chrX
33515602.7739726	1.06428597917875e-09	BREAKPOINTS	0.91736328125	chrX
33800194.3287671	1.00501354992252e-09	BREAKPOINTS	0.91984375	chrX
34084785.8835616	1.16829089078908e-09	BREAKPOINTS	0.9121484375	chrX
34369377.4383562	1.53740341291576e-09	BREAKPOINTS	0.8905078125	chrX
34653968.9931507	2.06767999314511e-09	BREAKPOINTS	0.85888671875	chrX
34938560.5479452	2.68958193491433e-09	BREAKPOINTS	0.81484375	chrX
35223152.1027397	3.3154011557101e-09	BREAKPOINTS	0.756953125	chrX
35507743.6575342	3.87237476262777e-09	BREAKPOINTS	0.6916015625	chrX
35792335.2123288	4.33428001057649e-09	BREAKPOINTS	0.64423828125	chrX
