Library	seqnames	start	end	width	strand	genoT	deltaW	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing	gene
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000067.7	12061977	12089445	27469	*	wc-cc	91	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000067.7	20306148	20372946	66799	*	cc-wc	78	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000067.7	47010725	47098424	87700	*	wc-cc	83	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000067.7	67217656	67230971	13316	*	cc-wc	109	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000067.7	189883310	189929805	46496	*	wc-cc	87	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000068.8	17599046	17602053	3008	*	cc-wc	78	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000068.8	65977506	66051621	74116	*	wc-cc	99	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000068.8	70356830	70358430	1601	*	cc-wc	97	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000068.8	82735890	82741627	5738	*	wc-ww	92	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000069.7	52443937	52559830	115894	*	wc-cc	92	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000069.7	102206600	102228989	22390	*	cc-wc	90	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000071.7	28221451	28248693	27243	*	wc-ww	89	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000071.7	44166220	44240865	74646	*	ww-wc	86	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000072.7	77101031	77144511	43481	*	cc-wc	85	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000072.7	116963019	116993503	30485	*	wc-cc	87	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000072.7	136678104	136770039	91936	*	cc-wc	88	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000073.7	125148637	125188524	39888	*	cc-wc	77	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000074.7	10729954	10756275	26322	*	wc-cc	89	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000074.7	35397732	35522832	125101	*	cc-wc	85	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000074.7	58798442	58855278	56837	*	wc-ww	87	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000074.7	87194698	87212571	17874	*	ww-wc	84	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000074.7	95357297	95398631	41335	*	wc-cc	96	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000075.7	27811796	27884263	72468	*	wc-ww	87	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000075.7	44582207	44594721	12515	*	ww-wc	84	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000075.7	72342117	72348047	5931	*	wc-ww	85	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000076.7	55344041	55391946	47906	*	ww-wc	88	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000076.7	73005466	73071861	66396	*	wc-ww	82	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000076.7	111949784	111995873	46090	*	ww-wc	86	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000077.7	57694122	57708882	14761	*	wc-ww	89	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000077.7	79961235	80099636	138402	*	ww-wc	100	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000079.7	66776975	67047208	270234	*	wc-ww	79	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
