mp	ds	type	p	chr
178554.5	2.56169722008798e-11	BREAKPOINTS	0.9986328125	chrX
485231.627201566	5.86199881889923e-11	BREAKPOINTS	0.9949609375	chrX
791908.754403131	1.22607237378286e-10	BREAKPOINTS	0.99111328125	chrX
1098585.8816047	2.34690796190344e-10	BREAKPOINTS	0.98673828125	chrX
1405263.00880626	4.11527306658238e-10	BREAKPOINTS	0.981328125	chrX
1711940.13600783	6.61375456071747e-10	BREAKPOINTS	0.97447265625	chrX
2018617.26320939	9.74225645175951e-10	BREAKPOINTS	0.9660546875	chrX
2325294.39041096	1.31479873052395e-09	BREAKPOINTS	0.9562109375	chrX
2631971.51761252	1.62466942411241e-09	BREAKPOINTS	0.94509765625	chrX
2938648.64481409	1.83278652506844e-09	BREAKPOINTS	0.93583984375	chrX
3245325.77201566	1.89035680421521e-09	BREAKPOINTS	0.9325	chrX
3552002.89921722	1.79975971179789e-09	BREAKPOINTS	0.93751953125	chrX
3858680.02641879	1.61066446683552e-09	BREAKPOINTS	0.94552734375	chrX
4165357.15362035	1.40941477268569e-09	BREAKPOINTS	0.95287109375	chrX
4472034.28082192	1.29453312134496e-09	BREAKPOINTS	0.9569140625	chrX
4778711.40802348	1.35058482315788e-09	BREAKPOINTS	0.95513671875	chrX
5085388.53522505	1.62764582985979e-09	BREAKPOINTS	0.9450390625	chrX
5392065.66242661	2.12897822235281e-09	BREAKPOINTS	0.91970703125	chrX
5698742.78962818	2.80689078129988e-09	BREAKPOINTS	0.8757421875	chrX
6005419.91682975	3.56696324863169e-09	BREAKPOINTS	0.80845703125	chrX
6312097.04403131	4.28187064138785e-09	BREAKPOINTS	0.7305859375	chrX
6618774.17123288	4.81541432488436e-09	BREAKPOINTS	0.66640625	chrX
6925451.29843444	5.05394235495599e-09	BREAKPOINTS	0.63462890625	chrX
7232128.42563601	4.9373568607061e-09	BREAKPOINTS	0.65017578125	chrX
7538805.55283757	4.47852738137513e-09	BREAKPOINTS	0.7074609375	chrX
7845482.68003914	3.76153217763989e-09	BREAKPOINTS	0.78826171875	chrX
8152159.8072407	2.91680100760009e-09	BREAKPOINTS	0.8669921875	chrX
8458836.93444227	2.08186040845968e-09	BREAKPOINTS	0.92169921875	chrX
8765514.06164384	1.36369898639538e-09	BREAKPOINTS	0.95458984375	chrX
9072191.1888454	8.17538880419488e-10	BREAKPOINTS	0.9703515625	chrX
9378868.31604697	4.54878928765072e-10	BREAKPOINTS	0.9798046875	chrX
9685545.44324853	2.33387726221686e-10	BREAKPOINTS	0.98677734375	chrX
9992222.5704501	1.1054523193797e-10	BREAKPOINTS	0.9919140625	chrX
10298899.6976517	4.91600880697094e-11	BREAKPOINTS	0.99623046875	chrX
10605576.8248532	2.33293312950304e-11	BREAKPOINTS	0.99953125	chrX
10912253.9520548	1.94691825740681e-11	BREAKPOINTS	0.9998828125	chrX
11218931.0792564	3.56505346759549e-11	BREAKPOINTS	0.99736328125	chrX
11525608.2064579	8.13937269451438e-11	BREAKPOINTS	0.99326171875	chrX
11832285.3336595	1.77949230919305e-10	BREAKPOINTS	0.98833984375	chrX
12138962.4608611	3.56988135943536e-10	BREAKPOINTS	0.9825390625	chrX
12445639.5880626	6.54540483169433e-10	BREAKPOINTS	0.9746875	chrX
12752316.7152642	1.09816129420217e-09	BREAKPOINTS	0.96251953125	chrX
13058993.8424658	1.68924606683142e-09	BREAKPOINTS	0.94248046875	chrX
13365670.9696673	2.38775543132014e-09	BREAKPOINTS	0.9044921875	chrX
13672348.0968689	3.10965717559363e-09	BREAKPOINTS	0.85076171875	chrX
13979025.2240704	3.74416177670097e-09	BREAKPOINTS	0.79048828125	chrX
14285702.351272	4.18767415788017e-09	BREAKPOINTS	0.742109375	chrX
14592379.4784736	4.37954559669769e-09	BREAKPOINTS	0.71892578125	chrX
14899056.6056751	4.32031214527472e-09	BREAKPOINTS	0.72572265625	chrX
15205733.7328767	4.06209282910303e-09	BREAKPOINTS	0.7563671875	chrX
15512410.8600783	3.6776888038817e-09	BREAKPOINTS	0.796953125	chrX
15819087.9872798	3.2371615556593e-09	BREAKPOINTS	0.8392578125	chrX
16125765.1144814	2.79271780858856e-09	BREAKPOINTS	0.87697265625	chrX
16432442.241683	2.38670739894599e-09	BREAKPOINTS	0.9044921875	chrX
16739119.3688845	2.06444552811578e-09	BREAKPOINTS	0.9228515625	chrX
17045796.4960861	1.86960679969145e-09	BREAKPOINTS	0.93365234375	chrX
17352473.6232877	1.82865557182536e-09	BREAKPOINTS	0.93603515625	chrX
17659150.7504892	1.93626876961697e-09	BREAKPOINTS	0.93001953125	chrX
17965827.8776908	2.15290829599712e-09	BREAKPOINTS	0.91841796875	chrX
18272505.0048924	2.41688041054218e-09	BREAKPOINTS	0.90275390625	chrX
18579182.1320939	2.66368534410011e-09	BREAKPOINTS	0.88701171875	chrX
18885859.2592955	2.84195314712932e-09	BREAKPOINTS	0.87291015625	chrX
19192536.3864971	2.91959976992584e-09	BREAKPOINTS	0.866796875	chrX
19499213.5136986	2.88199332103317e-09	BREAKPOINTS	0.86984375	chrX
19805890.6409002	2.72920673458245e-09	BREAKPOINTS	0.88208984375	chrX
20112567.7681018	2.47772492073569e-09	BREAKPOINTS	0.8992578125	chrX
20419244.8953033	2.16505991128971e-09	BREAKPOINTS	0.917890625	chrX
20725922.0225049	1.84992312993834e-09	BREAKPOINTS	0.93482421875	chrX
21032599.1497065	1.60141230560816e-09	BREAKPOINTS	0.94591796875	chrX
21339276.276908	1.47797162789993e-09	BREAKPOINTS	0.9502734375	chrX
21645953.4041096	1.50517026647232e-09	BREAKPOINTS	0.9494140625	chrX
21952630.5313112	1.66772627314369e-09	BREAKPOINTS	0.94341796875	chrX
22259307.6585127	1.90345055689544e-09	BREAKPOINTS	0.9316796875	chrX
22565984.7857143	2.15343083150003e-09	BREAKPOINTS	0.91841796875	chrX
22872661.9129158	2.3899342210647e-09	BREAKPOINTS	0.904375	chrX
23179339.0401174	2.62982982125032e-09	BREAKPOINTS	0.8894140625	chrX
23486016.167319	2.92452472008346e-09	BREAKPOINTS	0.8664453125	chrX
23792693.2945205	3.32986516980484e-09	BREAKPOINTS	0.830703125	chrX
24099370.4217221	3.8726099619931e-09	BREAKPOINTS	0.776796875	chrX
24406047.5489237	4.53169588761951e-09	BREAKPOINTS	0.70119140625	chrX
24712724.6761252	5.24265067093063e-09	BREAKPOINTS	0.6100390625	chrX
25019401.8033268	5.91911887887321e-09	BREAKPOINTS	0.518671875	chrX
25326078.9305284	6.47672660457781e-09	BREAKPOINTS	0.4408203125	chrX
25632756.0577299	6.84713879142066e-09	BREAKPOINTS	0.39248046875	chrX
25939433.1849315	6.98112263467563e-09	BREAKPOINTS	0.3754296875	chrX
26246110.3121331	6.84936124411273e-09	BREAKPOINTS	0.39212890625	chrX
26552787.4393346	6.45033717352733e-09	BREAKPOINTS	0.4441015625	chrX
26859464.5665362	5.82524084667307e-09	BREAKPOINTS	0.5315625	chrX
27166141.6937378	5.06843649222074e-09	BREAKPOINTS	0.6327734375	chrX
27472818.8209393	4.31867310832229e-09	BREAKPOINTS	0.72595703125	chrX
27779495.9481409	3.72501912438238e-09	BREAKPOINTS	0.7925	chrX
28086173.0753425	3.4003537834085e-09	BREAKPOINTS	0.82458984375	chrX
28392850.202544	3.37434914781742e-09	BREAKPOINTS	0.82701171875	chrX
28699527.3297456	3.55091847706425e-09	BREAKPOINTS	0.810078125	chrX
29006204.4569472	3.78535774291765e-09	BREAKPOINTS	0.78580078125	chrX
29312881.5841487	3.9325563671606e-09	BREAKPOINTS	0.770546875	chrX
29619558.7113503	3.90365747477974e-09	BREAKPOINTS	0.77380859375	chrX
29926235.8385519	3.69385334752165e-09	BREAKPOINTS	0.7955078125	chrX
30232912.9657534	3.36983350121704e-09	BREAKPOINTS	0.8273828125	chrX
30539590.092955	3.02621369075419e-09	BREAKPOINTS	0.85841796875	chrX
30846267.2201566	2.73555067799837e-09	BREAKPOINTS	0.8816015625	chrX
31152944.3473581	2.5176554124293e-09	BREAKPOINTS	0.89662109375	chrX
31459621.4745597	2.34100899220949e-09	BREAKPOINTS	0.90748046875	chrX
31766298.6017613	2.15061669505206e-09	BREAKPOINTS	0.9185546875	chrX
32072975.7289628	1.90359723783021e-09	BREAKPOINTS	0.9316796875	chrX
32379652.8561644	1.59289405053176e-09	BREAKPOINTS	0.94619140625	chrX
32686329.9833659	1.24951742152191e-09	BREAKPOINTS	0.95794921875	chrX
32993007.1105675	9.27133021891977e-10	BREAKPOINTS	0.9673046875	chrX
33299684.2377691	6.8105841810115e-10	BREAKPOINTS	0.97392578125	chrX
33606361.3649706	5.52835372880082e-10	BREAKPOINTS	0.97693359375	chrX
33913038.4921722	5.6418626760334e-10	BREAKPOINTS	0.9767578125	chrX
34219715.6193738	7.16995419454312e-10	BREAKPOINTS	0.9726953125	chrX
34526392.7465753	9.97268765751079e-10	BREAKPOINTS	0.96537109375	chrX
34833069.8737769	1.36562687585806e-09	BREAKPOINTS	0.9544921875	chrX
35139747.0009785	1.77562532673513e-09	BREAKPOINTS	0.9384375	chrX
35446424.12818	2.19257683953873e-09	BREAKPOINTS	0.91642578125	chrX
35753101.2553816	2.60921469544385e-09	BREAKPOINTS	0.890859375	chrX
36059778.3825832	3.05265996459454e-09	BREAKPOINTS	0.85599609375	chrX
36366455.5097847	3.57163869833162e-09	BREAKPOINTS	0.80787109375	chrX
36673132.6369863	4.20778875604499e-09	BREAKPOINTS	0.739609375	chrX
36979809.7641879	4.96650444420338e-09	BREAKPOINTS	0.646640625	chrX
37286486.8913894	5.80405460673634e-09	BREAKPOINTS	0.53431640625	chrX
37593164.018591	6.63725689212479e-09	BREAKPOINTS	0.42037109375	chrX
37899841.1457926	7.36787860384351e-09	BREAKPOINTS	0.3286328125	chrX
38206518.2729941	7.90682020163014e-09	BREAKPOINTS	0.2687109375	chrX
38513195.4001957	8.18743959469279e-09	BREAKPOINTS	0.240078125	chrX
38819872.5273973	8.16816667914537e-09	BREAKPOINTS	0.241875	chrX
39126549.6545988	7.8323320777597e-09	BREAKPOINTS	0.27640625	chrX
39433226.7818004	7.19200062053387e-09	BREAKPOINTS	0.3498828125	chrX
39739903.909002	6.29488407967412e-09	BREAKPOINTS	0.4655859375	chrX
40046581.0362035	5.22687907995447e-09	BREAKPOINTS	0.61203125	chrX
40353258.1634051	4.10335094234592e-09	BREAKPOINTS	0.75166015625	chrX
40659935.2906066	3.0494689213084e-09	BREAKPOINTS	0.85630859375	chrX
40966612.4178082	2.18877156064909e-09	BREAKPOINTS	0.916640625	chrX
41273289.5450098	1.58673638253408e-09	BREAKPOINTS	0.94640625	chrX
41579966.6722113	1.26957165298373e-09	BREAKPOINTS	0.95724609375	chrX
41886643.7994129	1.22289311711467e-09	BREAKPOINTS	0.9588671875	chrX
