seqnames	start	end	width	strand	genoT	deltaW	ID
chr1	47133175	47211330	78156	*	cc-ww	160	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr1	146398610	146405168	6559	*	ww-cc	125	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr1	148834320	148961580	127261	*	cc-ww	141	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr2	89565764	89599087	33324	*	cc-wc	41	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr2	91590292	91730963	140672	*	wc-cc	27	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr2	111765263	111907370	142108	*	cc-wc	24	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr2	111959133	112079163	120031	*	wc-cc	26	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr3	90715939	90833270	117332	*	cc-wc	98	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr3	94484953	94488338	3386	*	wc-cc	46	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr4	48983174	49026791	43618	*	ww-wc	28	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr4	51995765	52080039	84275	*	wc-ww	26	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr5	20443858	20497852	53995	*	cc-ww	157	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr7	57157028	57224890	67863	*	ww-wc	48	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr7	62405555	62519418	113864	*	wc-ww	55	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr7	65000956	65017760	16805	*	ww-wc	50	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr7	66468725	66480921	12197	*	wc-ww	49	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr8	21963240	21965437	2198	*	wc-cc	88	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr8	73720382	73744046	23665	*	cc-wc	73	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr8	120036990	120041457	4468	*	wc-ww	93	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr9	130785143	130809751	24609	*	cc-ww	145	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr11	80366543	80381571	15029	*	cc-ww	163	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr12	62732461	62875749	143289	*	cc-wc	99	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr12	64192011	64418101	226091	*	wc-cc	96	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr13	19155752	19174234	18483	*	wc-cc	52	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr14	20407067	20408846	1780	*	wc-cc	46	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr15	22291490	22300915	9426	*	wc-cc	59	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr15	72631193	72670896	39704	*	cc-wc	90	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr15	74043475	74047992	4518	*	wc-cc	73	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr16	21310738	21338673	27936	*	cc-ww	113	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr16	22698983	22713268	14286	*	ww-cc	106	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr16	34275707	34571563	295857	*	cc-ww	144	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr16	46401563	46416937	15375	*	ww-cc	144	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr17	26723081	26780535	57455	*	ww-cc	34	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr17	26952414	26961855	9442	*	cc-ww	29	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr20	28513956	28559172	45217	*	cc-wc	67	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr20	30411565	30472744	61180	*	wc-cc	67	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr21	13003576	13028446	24871	*	wc-ww	96	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr22	23280709	23304033	23325	*	ww-cc	146	zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam
chr1	121600148	122680440	1080293	*	cc-wc	85	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr1	148504642	149954339	1449698	*	wc-cc	84	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr2	221028813	221061928	33116	*	cc-ww	159	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr3	90469160	90885765	416606	*	ww-wc	45	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr3	94992897	95024306	31410	*	wc-ww	45	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr9	38733023	39003948	270926	*	cc-wc	44	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr9	69823371	69965605	142235	*	wc-cc	48	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr12	62262227	62449660	187434	*	cc-wc	51	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr12	64404759	64582194	177436	*	wc-cc	50	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr15	72514862	72609262	94401	*	ww-wc	59	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr15	74397672	74418484	20813	*	wc-ww	61	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr16	32204241	32420417	216177	*	ww-cc	106	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr16	46920487	47064169	143683	*	cc-ww	115	zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam
chr1	145946620	145957604	10985	*	ww-cc	105	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr1	148907076	148981321	74246	*	cc-ww	140	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr3	90684470	90710630	26161	*	ww-wc	70	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr3	94173009	94177917	4909	*	wc-ww	65	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr4	63179807	63180892	1086	*	cc-ww	153	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr7	57385794	57385967	174	*	cc-wc	33	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr7	62427169	62434667	7499	*	wc-cc	30	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr9	40913871	40914822	952	*	ww-wc	62	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr9	66052831	66163315	110485	*	wc-ww	72	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr12	62213659	62222749	9091	*	ww-wc	97	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
